表,作業名,細目,記号,摘要単位,材料,"配管工
［人］",その他,注
表ＲＭ－４－１【市】【設】,衛生器具(1/2),細目,記号,摘要単位,衛生器具［組］,"配管工
［人］",その他,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),和風便器,,洗浄弁式,1,1.34,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),和風便器,,タンク式(ロータンク)組,1,1.85,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),和風便器,,タンク式(ハイタンク),1,1.94,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),大便器,"C1111
C1111R
C1111S",高座面形、洗浄弁式,1,2.10,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),大便器,"C1111
C1111R
C1111S","組
高座面形・タンク式",1,1.56,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),大便器,"C710
C910
C1200
C1210
C710R
C910R
C710S
C910S
C1200R
C1210R
C1200S
C1210S",洗浄弁式,1,1.06,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),大便器,"C710
C910
C1200
C1210
C710R
C910R
C710S
C910S
C1200R
C1210R
C1200S
C1210S",タンク式(ロータンク)組,1,1.56,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),大便器,"C710
C910
C1200
C1210
C710R
C910R
C710S
C910S
C1200R
C1210R
C1200S
C1210S",タンク式(ハイタンク),1,1.65,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),小便器,U510,洗浄弁式床置小便器,1,1.28,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),小便器,U511,洗浄弁式床置小便器,1,1.14,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),小便器,U520,洗浄弁式壁掛小便器組,1,0.98,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),小便器,U521,洗浄弁式壁掛小便器組,1,0.83,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),小便器,U610,専用洗浄弁式床置小便器,1,1.28,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),小便器,U620,専用洗浄弁式壁掛小便器,1,0.98,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),洗面器,"L410
L420
L511",自動水栓１個付,1,0.69,１式,
表ＲＭ－４－１【市】【設】,衛生器具(1/2),洗面器,"L410
L420
L511","組
自動混合水栓１個付",1,0.79,１式,
